,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00100200, ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                           , AL ,357621357,Public," 2,865 "," 2,896 "," $11,297,407.00 "," 2,916 "," $5,783,441.00 "," 2,948 "," 3,664 "," $14,067,694.00 "," 3,700 "," $7,219,336.00 ", 757 , 800 ," $13,559,157.00 ", 818 ," $6,924,528.00 ", 421 , 458 ," $5,028,268.00 ", 469 ," $2,573,474.00 ", 38 , 45 ," $277,753.00 ", 46 ," $140,839.00 "
00100300, FAULKNER UNIVERSITY                                                    , AL ,361093398,Private-Nonprofit," 1,512 "," 1,609 "," $5,076,824.00 "," 2,128 "," $3,855,699.00 "," 1,403 "," 1,648 "," $4,772,148.00 "," 2,109 "," $3,408,988.00 ", 414 , 425 ," $5,888,476.00 ", 440 ," $3,713,333.00 ", 157 , 176 ," $1,569,216.00 ", 180 ," $854,989.00 ", 193 , 227 ," $4,970,391.00 ", 227 ," $2,691,374.00 "
00100400, UNIVERSITY OF MONTEVALLO                                               , AL ,351156000,Public," 1,251 "," 1,272 "," $5,300,534.00 "," 1,301 "," $2,742,410.00 "," 1,282 "," 1,435 "," $5,603,837.00 "," 1,463 "," $2,884,567.00 ", 228 , 237 ," $3,865,195.00 ", 247 ," $1,994,347.00 ", 119 , 130 ," $956,120.00 ", 149 ," $535,426.00 ", 8 , 9 ," $67,392.00 ", 11 ," $37,744.00 "
00100500, ALABAMA STATE UNIVERSITY                                               , AL ,361045714,Public," 3,695 "," 3,718 "," $13,549,402.00 "," 3,689 "," $7,201,759.00 "," 3,795 "," 5,152 "," $16,719,424.00 "," 5,096 "," $8,833,942.00 ", 523 , 553 ," $8,274,895.00 ", 561 ," $4,295,295.00 ", 493 , 540 ," $4,771,748.00 ", 553 ," $2,565,894.00 ", 46 , 48 ," $323,806.00 ", 49 ," $191,849.00 "
00100700, CENTRAL ALABAMA COMMUNITY COLLEGE                                      , AL ,350100000,Public, 614 , 616 ," $2,234,028.00 ", 624 ," $1,143,579.00 ", 580 , 599 ," $2,158,867.00 ", 603 ," $1,102,613.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00100800, ATHENS STATE UNIVERSITY                                                , AL ,356111999,Public," 1,210 "," 1,225 "," $5,411,235.00 "," 1,221 "," $2,715,621.00 "," 1,080 "," 1,106 "," $6,244,344.00 "," 1,098 "," $3,144,447.00 ", 3 , 3 ," $31,250.00 ", 3 ," $16,667.00 ", 13 , 13 ," $58,958.00 ", 13 ," $30,728.00 ", -   , -   , $-   , -   , $-   
00100900, AUBURN UNIVERSITY                                                      , AL ,368495113,Public," 5,291 "," 5,295 "," $21,991,893.00 "," 5,295 "," $11,740,671.00 "," 5,673 "," 5,834 "," $20,633,382.00 "," 5,829 "," $10,987,908.00 "," 1,738 "," 1,739 "," $39,964,184.00 "," 1,739 "," $20,556,076.00 "," 1,176 "," 1,258 "," $26,468,753.00 "," 1,257 "," $14,037,302.00 ", 261 , 266 ," $4,292,017.00 ", 266 ," $2,244,998.00 "
00101200, BIRMINGHAM SOUTHERN COLLEGE                                            , AL ,352540002,Private-Nonprofit, 426 , 426 ," $1,802,071.00 ", 426 ," $909,525.00 ", 530 , 530 ," $1,956,167.00 ", 530 ," $995,921.00 ", -   , -   , $-   , -   , $-   , 105 , 110 ," $1,677,636.00 ", 110 ," $859,785.00 ", -   , -   , $-   , -   , $-   
00101300, CALHOUN COMMUNITY COLLEGE                                              , AL ,356092216,Public," 2,743 "," 2,748 "," $9,816,016.00 "," 2,748 "," $5,092,227.00 "," 2,464 "," 2,474 "," $9,149,794.00 "," 2,474 "," $4,699,308.00 ", -   , -   , $-   , -   , $-   , 16 , 16 ," $79,176.00 ", 17 ," $40,340.00 ", -   , -   , $-   , -   , $-   
00101500, ENTERPRISE STATE COMMUNITY COLLEGE                                     , AL ,363311300,Public, 401 , 403 ," $1,314,567.00 ", 461 ," $661,262.00 ", 346 , 349 ," $1,211,807.00 ", 379 ," $555,486.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $15,000.00 ", 2 ," $5,001.00 ", -   , -   , $-   , -   , $-   
00101600, UNIVERSITY OF NORTH ALABAMA                                            , AL ,356320001,Public," 2,352 "," 2,356 "," $8,811,238.00 "," 2,504 "," $4,878,765.00 "," 2,339 "," 2,502 "," $9,282,595.00 "," 2,654 "," $5,174,988.00 ", 292 , 292 ," $4,025,859.00 ", 311 ," $2,315,785.00 ", 180 , 187 ," $1,519,461.00 ", 200 ," $829,393.00 ", -   , -   , $-   , -   , $-   
00101900, HUNTINGDON COLLEGE                                                     , AL ,361062148,Private-Nonprofit, 630 , 630 ," $2,536,827.00 ", 630 ," $1,262,279.00 ", 728 , 864 ," $3,364,387.00 ", 869 ," $1,691,168.00 ", -   , -   , $-   , -   , $-   , 132 , 133 ," $1,545,726.00 ", 135 ," $810,119.00 ", -   , -   , $-   , -   , $-   
00102000, JACKSONVILLE STATE UNIVERSITY                                          , AL ,362651602,Public," 3,632 "," 3,644 "," $14,672,251.00 "," 3,640 "," $7,919,413.00 "," 3,573 "," 3,986 "," $15,326,079.00 "," 3,977 "," $8,467,399.00 ", 570 , 577 ," $9,149,931.00 ", 577 ," $5,145,394.00 ", 242 , 258 ," $2,057,277.00 ", 258 ," $1,086,984.00 ", -   , -   , $-   , -   , $-   
00102200, JEFFERSON STATE COMMUNITY COLLEGE                                      , AL ,352153098,Public," 1,362 "," 1,362 "," $4,528,489.00 "," 1,362 "," $2,592,534.00 ", 568 , 568 ," $1,796,562.00 ", 568 ," $997,978.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
