OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00100200, ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                           , AL ,357621357,Public," 2,865 "," 2,896 "," $11,297,407.00 "," 2,916 "," $5,783,441.00 "
00100300, FAULKNER UNIVERSITY                                                    , AL ,361093398,Private-Nonprofit," 1,512 "," 1,609 "," $5,076,824.00 "," 2,128 "," $3,855,699.00 "
00100400, UNIVERSITY OF MONTEVALLO                                               , AL ,351156000,Public," 1,251 "," 1,272 "," $5,300,534.00 "," 1,301 "," $2,742,410.00 "
00100500, ALABAMA STATE UNIVERSITY                                               , AL ,361045714,Public," 3,695 "," 3,718 "," $13,549,402.00 "," 3,689 "," $7,201,759.00 "
00100700, CENTRAL ALABAMA COMMUNITY COLLEGE                                      , AL ,350100000,Public, 614 , 616 ," $2,234,028.00 ", 624 ," $1,143,579.00 "
00100800, ATHENS STATE UNIVERSITY                                                , AL ,356111999,Public," 1,210 "," 1,225 "," $5,411,235.00 "," 1,221 "," $2,715,621.00 "
00100900, AUBURN UNIVERSITY                                                      , AL ,368495113,Public," 5,291 "," 5,295 "," $21,991,893.00 "," 5,295 "," $11,740,671.00 "
00101200, BIRMINGHAM SOUTHERN COLLEGE                                            , AL ,352540002,Private-Nonprofit, 426 , 426 ," $1,802,071.00 ", 426 ," $909,525.00 "
00101300, CALHOUN COMMUNITY COLLEGE                                              , AL ,356092216,Public," 2,743 "," 2,748 "," $9,816,016.00 "," 2,748 "," $5,092,227.00 "
00101500, ENTERPRISE STATE COMMUNITY COLLEGE                                     , AL ,363311300,Public, 401 , 403 ," $1,314,567.00 ", 461 ," $661,262.00 "
00101600, UNIVERSITY OF NORTH ALABAMA                                            , AL ,356320001,Public," 2,352 "," 2,356 "," $8,811,238.00 "," 2,504 "," $4,878,765.00 "
00101900, HUNTINGDON COLLEGE                                                     , AL ,361062148,Private-Nonprofit, 630 , 630 ," $2,536,827.00 ", 630 ," $1,262,279.00 "
00102000, JACKSONVILLE STATE UNIVERSITY                                          , AL ,362651602,Public," 3,632 "," 3,644 "," $14,672,251.00 "," 3,640 "," $7,919,413.00 "
00102200, JEFFERSON STATE COMMUNITY COLLEGE                                      , AL ,352153098,Public," 1,362 "," 1,362 "," $4,528,489.00 "," 1,362 "," $2,592,534.00 "
00102300, JUDSON COLLEGE                                                         , AL ,367562504,Private-Nonprofit, 217 , 217 ," $902,738.00 ", 226 ," $452,790.00 "
00102400, UNIVERSITY OF WEST ALABAMA                                             , AL ,354700000,Public," 1,233 "," 1,234 "," $4,905,034.00 "," 1,315 "," $2,516,620.00 "
00102600, MARION MILITARY INSTITUTE                                              , AL ,367563214,Public, 158 , 158 ," $503,610.00 ", 169 ," $267,030.00 "
00102800, MILES COLLEGE                                                          , AL ,350642697,Private-Nonprofit," 1,437 "," 1,439 "," $5,640,400.00 "," 1,441 "," $2,872,143.00 "
00102900, UNIVERSITY OF MOBILE                                                   , AL ,366630220,Private-Nonprofit, 898 , 898 ," $3,800,568.00 ", 928 ," $1,919,887.00 "
00103100, NORTHEAST ALABAMA COMMUNITY COLLEGE                                    , AL ,359860159,Public, 288 , 288 ," $660,950.00 ", 440 ," $471,325.00 "
00103300, OAKWOOD UNIVERSITY                                                     , AL ,358960001,Private-Nonprofit," 1,197 "," 1,201 "," $5,302,884.00 "," 1,202 "," $2,661,369.00 "
00103600, SAMFORD UNIVERSITY                                                     , AL ,352297000,Private-Nonprofit, 731 , 749 ," $2,961,735.00 ", 753 ," $1,583,408.00 "
00103800, SNEAD STATE COMMUNITY COLLEGE                                          , AL ,359570734,Public, 547 , 549 ," $1,963,505.00 ", 549 ," $975,458.00 "
00104000, SOUTHERN UNION STATE COMMUNITY COLLEGE                                 , AL ,362760000,Public, 900 , 901 ," $2,666,498.00 "," 1,106 "," $1,625,817.00 "
00104100, SPRING HILL COLLEGE                                                    , AL ,366081791,Private-Nonprofit, 692 , 696 ," $2,776,171.00 ", 696 ," $1,443,026.00 "
00104400, STILLMAN COLLEGE                                                       , AL ,354011430,Private-Nonprofit, 654 , 654 ," $2,706,742.00 ", 656 ," $1,359,344.00 "
00104600, TALLADEGA COLLEGE                                                      , AL ,351602354,Private-Nonprofit, 532 , 532 ," $2,113,321.00 ", 531 ," $1,048,326.00 "
00104700, TROY UNIVERSITY                                                        , AL ,360820001,Public," 7,841 "," 7,876 "," $32,035,224.00 "," 10,208 "," $16,222,999.00 "
00105000, TUSKEGEE UNIVERSITY                                                    , AL ,360881645,Private-Nonprofit," 1,757 "," 1,773 "," $7,657,059.00 "," 1,771 "," $3,874,599.00 "
00105100, UNIVERSITY OF ALABAMA                                                  , AL ,354870120,Public," 9,377 "," 9,536 "," $39,649,031.00 "," 16,858 "," $36,483,046.00 "
00105200, UNIVERSITY OF ALABAMA AT BIRMINGHAM                                    , AL ,352941150,Public," 4,869 "," 4,888 "," $21,004,620.00 "," 4,884 "," $10,362,611.00 "
00105500, UNIVERSITY OF ALABAMA IN HUNTSVILLE                                    , AL ,358990001,Public," 2,124 "," 2,183 "," $8,899,077.00 "," 2,181 "," $4,842,888.00 "
00105700, UNIVERSITY OF SOUTH ALABAMA                                            , AL ,366880002,Public," 5,251 "," 5,321 "," $20,463,229.00 "," 5,317 "," $11,184,464.00 "
00106000, JAMES H. FAULKNER STATE COMMUNITY COLLEGE                              , AL ,365072698,Public," 1,235 "," 1,235 "," $4,091,161.00 "," 1,251 "," $2,128,252.00 "
00106100, ALASKA PACIFIC UNIVERSITY                                              , AK ,995084672,Private-Nonprofit, 155 , 156 ," $692,080.00 ", 169 ," $361,578.00 "
