GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  
601,166659795,799295,64.348,0.309,18.180555,-66.749961
602,79287171,4448759,30.613,1.718,18.362268,-67.17613
603,81884527,184094,31.616,0.071,18.455183,-67.119887
606,109580062,12487,42.309,0.005,18.158345,-66.932911
610,93021367,4171998,35.916,1.611,18.290955,-67.125868
612,175095433,9812044,67.605,3.788,18.402239,-66.7114
616,29862713,149147,11.53,0.058,18.420412,-66.671979
617,39347094,3987953,15.192,1.54,18.445147,-66.559696
622,75080608,1694870,28.989,0.654,17.991245,-67.153993
623,98356483,1633540,37.976,0.631,18.083435,-67.153877
624,111794992,2525022,43.164,0.975,18.063275,-66.715966
627,120058337,3507026,46.355,1.354,18.4126,-66.863926
631,10414671,669972,4.021,0.259,18.190607,-66.832041
637,89226020,25323,34.45,0.01,18.076713,-66.947389
638,171055114,493338,66.045,0.19,18.291229,-66.513017
641,242244249,3459433,93.531,1.336,18.262962,-66.71402
646,53611754,3321279,20.7,1.282,18.43315,-66.285875
647,39379802,8013315,15.205,3.094,17.963613,-66.947127
650,79052837,557178,30.522,0.215,18.349416,-66.578079
652,17915349,15538,6.917,0.006,18.447902,-66.595721
653,39477268,5203941,15.242,2.009,17.985452,-66.888933
656,83954612,4355104,32.415,1.682,18.053539,-66.792931
659,108212841,3037719,41.781,1.173,18.407222,-66.809008
660,29361268,481,11.336,0,18.134695,-67.116199
662,114911907,5337084,44.368,2.061,18.467481,-67.015974
664,117897684,3091,45.521,0.001,18.210582,-66.589664
667,156201857,28263503,60.31,10.913,18.003422,-67.03581
669,159419207,168345,61.552,0.065,18.270899,-66.866375
670,118025347,357820,45.57,0.138,18.236832,-66.990114
674,116402297,6903444,44.943,2.665,18.422908,-66.489337
676,130630488,56481,50.437,0.022,18.377637,-67.079574
677,37137111,3594951,14.339,1.388,18.33256,-67.227006
678,68274077,3796735,26.361,1.466,18.434099,-66.927384
680,166294556,19828847,64.207,7.656,18.182055,-67.132502
682,37288580,6329769,14.397,2.444,18.221464,-67.156039
683,135187793,29362,52.196,0.011,18.1078,-67.037263
685,200808226,2058244,77.532,0.795,18.332927,-66.959875
687,100676245,139539,38.871,0.054,18.318386,-66.418034
688,82403423,77466,31.816,0.03,18.382264,-66.626438
690,7291955,11784,2.815,0.005,18.49551,-67.098671
692,69308496,1999295,26.76,0.772,18.410188,-66.336556
693,101836940,3653890,39.319,1.411,18.422993,-66.397234
694,2043549,1957115,0.789,0.756,18.48237,-66.391079
698,180309280,7761813,69.618,2.997,18.064848,-66.856319
703,76855028,28384,29.674,0.011,18.248401,-66.130662
704,12627764,1773833,4.876,0.685,17.96577,-66.219555
705,82748279,72306,31.949,0.028,18.128961,-66.266683
707,54561504,3816672,21.066,1.474,18.013648,-65.920712
714,37859176,42739,14.618,0.017,18.000198,-66.042943
715,20381800,150234,7.869,0.058,18.011233,-66.560065
716,22170669,7921421,8.56,3.058,17.99204,-66.605856
717,5443504,77761,2.102,0.03,18.003222,-66.614037
718,117171766,3457279,45.24,1.335,18.231988,-65.759623
719,72527874,898350,28.003,0.347,18.289927,-66.25344
720,154368019,286519,59.602,0.111,18.217946,-66.428076
723,119554078,1319657,46.16,0.51,18.043822,-66.015578
725,109376551,1176024,42.231,0.454,18.218819,-66.042375
727,55657422,26958,21.489,0.01,18.215308,-66.073565
728,40524706,21618806,15.647,8.347,17.989853,-66.664116
729,87958743,364670,33.961,0.141,18.323585,-65.883206
730,16874060,99138,6.515,0.038,18.030831,-66.616838
731,123338617,3082016,47.621,1.19,18.108039,-66.634653
735,60368968,1842362,23.309,0.711,18.252604,-65.682494
736,142701443,79551,55.097,0.031,18.103624,-66.151667
738,76292838,78655132,29.457,30.369,18.304458,-65.698711
739,81792840,1113746,31.58,0.43,18.177233,-66.160645
740,1103423,40886,0.426,0.016,18.33116,-65.63412
741,6121150,2792707,2.363,1.078,18.163745,-65.754021
745,133678089,6153211,51.613,2.376,18.352216,-65.817387
751,121645653,29374458,46.968,11.342,18.001317,-66.252183
754,132164300,241738,51.029,0.093,18.14713,-65.976289
757,77265972,5590845,29.833,2.159,17.995441,-66.391334
765,49309577,1749405,19.039,0.675,18.130096,-65.439369
766,103701758,3739023,40.039,1.444,18.133196,-66.476916
767,143501397,6804969,55.406,2.627,18.069489,-65.896161
769,198169751,37652,76.514,0.015,18.1038,-66.357586
771,87591037,32509,33.819,0.013,18.187148,-65.871189
772,37976566,13638676,14.663,5.266,18.438969,-65.905174
773,62966902,2572466,24.312,0.993,18.342888,-65.723109
775,27354065,33428565,10.561,12.907,18.327485,-65.295977
777,68844439,327686,26.581,0.127,18.224133,-65.908542
778,76777423,1115775,29.644,0.431,18.263023,-65.979078
780,52052363,838320,20.098,0.324,18.102834,-66.568105
782,69008766,319735,26.644,0.123,18.225708,-66.221633
783,108382324,16285,41.847,0.006,18.30391,-66.326179
784,143875342,16278590,55.551,6.285,18.010721,-66.133613
786,666250,0,0.257,0,18.155424,-66.229907
791,95724478,2865937,36.959,1.107,18.136782,-65.821476
794,91419761,77809,35.297,0.03,18.199005,-66.309808
795,119806341,958121,46.257,0.37,18.060587,-66.500571
801,2909090,1354,1.123,0.001,18.350449,-64.973886
802,71631066,8937112,27.657,3.451,18.341648,-64.924936
820,78984108,2999424,30.496,1.158,17.743072,-64.68657
823,1036689,0,0.4,0,17.723541,-64.745932
824,57053,0,0.022,0,17.744557,-64.682933
830,50007285,371095,19.308,0.143,18.33856,-64.736533
831,119891,0,0.046,0,18.327294,-64.78672
840,48636508,21536,18.779,0.008,17.747525,-64.881722
841,6575513,632679,2.539,0.244,17.768122,-64.807845
850,60054919,3085483,23.187,1.191,17.709936,-64.750099
851,19683702,71124,7.6,0.027,17.731956,-64.770738
901,2534089,30548,0.978,0.012,18.465424,-66.104723
906,8247,0,0.003,0,18.46446,-66.094995
907,3130114,347421,1.209,0.134,18.452679,-66.078113
909,1578436,49304,0.609,0.019,18.44161,-66.067132
911,1232508,0,0.476,0,18.451159,-66.056199
912,865015,0,0.334,0,18.445328,-66.060135
913,834839,0,0.322,0,18.450002,-66.042656
915,3609912,820883,1.394,0.317,18.437179,-66.045571
917,3360013,46991,1.297,0.018,18.420674,-66.050105
918,5517328,101168,2.13,0.039,18.421022,-66.065789
920,7334198,135875,2.832,0.052,18.414292,-66.088042
921,6941064,0,2.68,0,18.392282,-66.088555
923,5283984,7303,2.04,0.003,18.409307,-66.038888
924,12143485,1620,4.689,0.001,18.399192,-66.012453
925,1158081,0,0.447,0,18.400296,-66.050602
926,62567091,1052377,24.157,0.406,18.3454,-66.051545
927,6803691,5830,2.627,0.002,18.388011,-66.072089
934,1940429,26786,0.749,0.01,18.411313,-66.124234
